Hour Ending,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
03/08/2021 22:00,10041.194695,1377.444855,3341.916529,700.477174,11672.889718,2972.861452,5886.890414,1122.109673,37115.78451
03/08/2021 23:00,9499.571068,1287.053174,3311.96607,663.817877,10907.747579,2786.005173,5496.122622,1069.53696,35021.820523
03/08/2021 24:00,8992.697362,1201.567333,3286.382822,635.087779,10128.099018,2568.95355,5079.005638,1009.973861,32901.767362
03/09/2021 01:00,8332.829904,1147.794234,3351.648931,620.686779,9776.807909,2407.59322,4793.393853,988.166241,31418.921071
03/09/2021 02:00,8113.546623,1122.996404,3346.241985,611.552021,9479.081459,2300.985149,4634.834389,974.006001,30583.244031
03/09/2021 03:00,8005.079091,1115.946247,3337.224253,610.946539,9342.277027,2238.609608,4551.859884,969.98512,30171.92777
03/09/2021 04:00,8015.677269,1121.800625,3340.285028,610.917438,9350.865987,2209.762222,4539.507316,978.022327,30166.838212
03/09/2021 05:00,8174.25835,1163.66096,3328.097131,622.670991,9658.519051,2227.464065,4638.731233,996.500199,30809.90198
03/09/2021 06:00,8661.692926,1247.285792,3361.896151,660.505507,10370.477702,2343.259657,4925.449562,1035.330962,32605.89826
03/09/2021 07:00,9295.545617,1371.98896,3386.082125,715.868538,11403.562491,2559.653072,5370.220797,1109.496455,35212.418055
03/09/2021 08:00,9507.555576,1418.019149,3398.209368,732.535307,11869.170818,2657.146417,5664.365332,1143.907427,36390.909393
03/09/2021 09:00,9759.32521,1418.477899,3420.404583,735.507943,12054.821065,2741.330168,5800.661645,1147.076578,37077.605091
03/09/2021 10:00,10000.361623,1410.990924,3445.606935,731.696283,12122.487404,2850.808821,5881.037542,1139.00666,37581.996192
03/09/2021 11:00,10241.535236,1394.976146,3456.902708,721.072474,12170.27842,2955.853594,5917.010917,1123.824232,37981.453726
03/09/2021 12:00,10482.381454,1381.428223,3468.209977,713.35936,12219.561405,3100.355815,5890.104685,1102.374168,38357.775088
03/09/2021 13:00,10557.243742,1377.218613,3475.956618,702.194878,12230.610064,3211.189188,5861.03884,1098.779585,38514.231529
03/09/2021 14:00,10638.711466,1382.175177,3496.220131,700.845296,12129.042147,3323.744875,5891.117783,1070.986153,38632.843028
03/09/2021 15:00,10634.569823,1371.469543,3526.162878,700.218026,12001.815498,3402.839391,5915.198602,1053.253749,38605.527509
03/09/2021 16:00,10625.202216,1366.574903,3538.767395,694.233568,11863.419363,3438.808884,5929.769778,1087.403154,38544.179262
03/09/2021 17:00,10541.165592,1360.500367,3531.948812,695.898474,11772.44033,3399.388615,5959.140446,1099.450058,38359.932695
03/09/2021 18:00,10430.807998,1372.179569,3556.450987,700.722014,11917.489404,3303.586753,6029.223175,1095.551588,38406.011487
03/09/2021 19:00,10623.642084,1442.023849,3543.424598,723.795531,12336.601448,3268.936902,6236.518831,1114.744491,39289.687735
03/09/2021 20:00,10756.669542,1464.569273,3577.007224,738.937406,12612.296163,3330.064553,6428.942813,1144.568925,40053.055899
03/09/2021 21:00,10514.172342,1436.585758,3557.537406,724.706963,12305.41733,3241.39296,6295.409446,1132.770355,39207.992561
03/09/2021 22:00,10094.450816,1367.300562,3518.429153,692.139536,11743.581213,3106.854325,5998.446015,1097.495642,37618.697263
03/09/2021 23:00,9574.937783,1274.365154,3487.450624,651.353901,11017.49579,2908.53626,5623.173725,1046.571392,35583.884629
03/09/2021 24:00,9018.125665,1182.167299,3444.496496,616.133004,10196.096281,2665.369819,5196.623822,1008.133538,33327.145925
03/10/2021 01:00,8599.138793,1111.322435,3436.299456,600.373229,9676.188528,2464.403345,4835.846759,971.170196,31694.742742
03/10/2021 02:00,8372.007241,1076.043383,3441.646509,590.380701,9336.856844,2338.151171,4635.498268,956.913701,30747.497817
03/10/2021 03:00,8275.900707,1059.075245,3443.759927,583.666538,9161.766821,2267.458963,4537.348117,948.24174,30277.218058
03/10/2021 04:00,8264.301536,1060.308224,3443.04922,585.592574,9108.589147,2225.585863,4491.847061,948.349945,30127.62357
03/10/2021 05:00,8458.91511,1081.664297,3451.391807,591.290543,9290.548736,2230.08228,4549.511224,956.65237,30610.056368
03/10/2021 06:00,8932.349477,1150.365549,3458.888757,622.077807,9845.293431,2332.809631,4804.834516,991.980535,32138.599702
03/10/2021 07:00,9621.436395,1266.612543,3496.397465,671.814914,10810.838936,2556.170656,5273.075896,1059.453521,34755.800327
03/10/2021 08:00,9918.068276,1317.873209,3512.425875,691.419958,11354.38192,2660.825013,5566.912286,1101.613082,36123.519619
03/10/2021 09:00,10199.722478,1347.76436,3506.970453,706.62285,11711.547251,2757.723018,5679.449106,1116.754814,37026.554331
03/10/2021 10:00,10483.112202,1371.327737,3518.465679,710.26419,11960.989371,2877.182324,5774.853421,1121.279245,37817.47417
03/10/2021 11:00,10748.801351,1385.61689,3512.828761,710.762596,12140.885964,3048.287158,5853.500371,1122.646674,38523.329765
03/10/2021 12:00,10957.655009,1390.824925,3531.487793,712.315383,12170.8312,3222.530713,6013.848636,1123.223789,39122.71745
03/10/2021 13:00,11156.497552,1398.648712,3527.415939,710.463857,12156.583238,3362.715884,6125.389745,1115.114,39552.828927
03/10/2021 14:00,11221.342655,1405.977462,3557.024627,713.880168,12096.304784,3496.809023,6242.006829,1113.770308,39847.115855
03/10/2021 15:00,11184.850723,1407.749751,3589.031951,715.702339,12037.951635,3595.617112,6374.436972,1116.244166,40021.584649
